,image_name,target,batch,fold
0,leptodactylus_pentadactylus_s_000004.png,6,1,4
1,camion_s_000148.png,9,1,3
2,tipper_truck_s_001250.png,9,1,1
3,american_elk_s_001521.png,4,1,4
4,station_wagon_s_000293.png,1,1,9
5,coupe_s_001735.png,1,1,7
6,cassowary_s_001300.png,2,1,7
7,cow_pony_s_001168.png,7,1,2
8,sea_boat_s_001584.png,8,1,9
9,tabby_s_001355.png,3,1,6
10,muntjac_s_001000.png,4,1,1
11,arabian_s_001354.png,7,1,3
12,quarter_horse_s_000672.png,7,1,5
13,passerine_s_000343.png,2,1,7
14,camion_s_001895.png,9,1,3
15,trailer_truck_s_000335.png,9,1,5
16,dumper_s_000821.png,9,1,9
17,alley_cat_s_000200.png,3,1,3
18,accentor_s_000677.png,2,1,6
19,frog_s_001671.png,6,1,4
20,capreolus_capreolus_s_000051.png,4,1,5
21,tomcat_s_000772.png,3,1,2
22,pickerel_frog_s_000446.png,6,1,6
23,bufo_s_001242.png,6,1,0
24,cassowary_s_001246.png,2,1,6
25,toad_s_001748.png,6,1,2
26,cat_s_000081.png,3,1,7
27,chihuahua_s_000825.png,5,1,8
28,alces_alces_s_000959.png,4,1,0
29,stealth_bomber_s_000554.png,0,1,5
30,twinjet_s_000663.png,0,1,4
31,trucking_rig_s_001402.png,9,1,8
32,auto_s_000609.png,1,1,0
33,tabby_cat_s_000983.png,3,1,6
34,wapiti_s_000416.png,4,1,9
35,monoplane_s_000895.png,0,1,7
36,true_cat_s_000247.png,3,1,9
37,tennessee_walker_s_000486.png,7,1,2
38,house_cat_s_000243.png,3,1,0
39,house_cat_s_001196.png,3,1,2
40,pekinese_s_001337.png,5,1,7
41,ostrich_s_001368.png,2,1,6
42,ostrich_s_001150.png,2,1,9
43,stallion_s_000046.png,7,1,7
44,station_waggon_s_000041.png,1,1,5
45,coupe_s_001944.png,1,1,8
46,estate_car_s_000580.png,1,1,7
47,accentor_s_000759.png,2,1,3
48,emu_novaehollandiae_s_000795.png,2,1,4
49,dive_bomber_s_001390.png,0,1,4
50,articulated_lorry_s_000131.png,9,1,3
51,pekinese_s_001093.png,5,1,0
52,broodmare_s_001463.png,7,1,7
53,delivery_truck_s_000834.png,9,1,0
54,songbird_s_001052.png,2,1,6
55,emu_s_000692.png,2,1,2
56,puppy_s_000115.png,5,1,6
57,wagtail_s_001821.png,2,1,8
58,dama_dama_s_000658.png,4,1,5
59,domestic_cat_s_001970.png,3,1,2
60,ambulance_s_003039.png,1,1,8
61,convertible_s_001763.png,1,1,8
62,tank_ship_s_001229.png,8,1,8
63,cassowary_s_001055.png,2,1,9
64,wagon_s_001142.png,1,1,4
65,police_cruiser_s_000620.png,1,1,4
66,moose_s_002308.png,4,1,6
67,aerial_ladder_truck_s_000584.png,9,1,8
68,saddle_horse_s_000717.png,7,1,6
69,tanker_s_001350.png,8,1,5
70,mongrel_s_001571.png,5,1,7
71,truck_s_000835.png,9,1,2
72,pickerel_frog_s_001195.png,6,1,4
73,lipizzan_s_000399.png,7,1,4
74,tabby_s_000074.png,3,1,8
75,automobile_s_001887.png,1,1,7
76,moving_van_s_001665.png,9,1,7
77,attack_aircraft_s_000153.png,0,1,9
78,domestic_cat_s_001596.png,3,1,3
79,compact_car_s_000048.png,1,1,3
80,domestic_cat_s_000009.png,3,1,1
81,pekingese_s_002089.png,5,1,0
82,capreolus_capreolus_s_001095.png,4,1,6
83,blenheim_spaniel_s_001103.png,5,1,0
84,stallion_s_000040.png,7,1,7
85,stud_mare_s_001672.png,7,1,2
86,elk_s_000920.png,4,1,1
87,lipizzan_s_001123.png,7,1,5
88,fire_truck_s_002721.png,9,1,9
89,elk_s_001888.png,4,1,7
90,finch_s_000750.png,2,1,4
91,tabby_s_000880.png,3,1,0
92,banana_boat_s_001324.png,8,1,8
93,twinjet_s_000591.png,0,1,1
94,shooting_brake_s_000029.png,1,1,8
95,rana_pipiens_s_000101.png,6,1,7
96,station_wagon_s_001387.png,1,1,3
97,station_wagon_s_002712.png,1,1,1
98,odocoileus_hemionus_s_000221.png,4,1,2
99,convertible_s_001715.png,1,1,3
100,abandoned_ship_s_000574.png,8,1,5
101,true_cat_s_000114.png,3,1,4
102,dustcart_s_000063.png,9,1,9
103,frog_s_000797.png,6,1,7
104,green_frog_s_001320.png,6,1,8
105,compact_car_s_001038.png,1,1,1
106,freighter_s_001351.png,8,1,2
107,mutt_s_000251.png,5,1,2
108,accentor_s_000303.png,2,1,4
109,lorry_s_001154.png,9,1,2
110,fire_truck_s_000894.png,9,1,7
111,cargo_vessel_s_000731.png,8,1,0
112,cruiser_s_000774.png,1,1,1
113,lippizan_s_000359.png,7,1,0
114,broodmare_s_001741.png,7,1,2
115,fighter_aircraft_s_000876.png,0,1,0
116,amphibious_aircraft_s_000216.png,0,1,5
117,leopard_frog_s_000339.png,6,1,4
118,trucking_rig_s_001315.png,9,1,0
119,shooting_brake_s_000886.png,1,1,5
120,pipit_s_000549.png,2,1,9
121,ostrich_s_002148.png,2,1,9
122,trucking_rig_s_001600.png,9,1,0
123,alauda_arvensis_s_000755.png,2,1,1
124,rana_temporaria_s_001087.png,6,1,1
125,bufo_s_000136.png,6,1,1
126,estate_car_s_000529.png,1,1,6
127,aerial_ladder_truck_s_000997.png,9,1,7
128,toy_spaniel_s_000384.png,5,1,4
129,amphibious_aircraft_s_001195.png,0,1,3
130,fallow_deer_s_001598.png,4,1,9
131,quarter_horse_s_000414.png,7,1,0
132,anuran_s_000712.png,6,1,3
133,arabian_s_001366.png,7,1,3
134,auto_s_000040.png,1,1,9
135,cargo_ship_s_001063.png,8,1,4
136,motorcar_s_000121.png,1,1,9
137,motorcar_s_000305.png,1,1,3
138,anthus_pratensis_s_001071.png,2,1,0
139,cruiser_s_000294.png,8,1,3
140,wagon_s_000763.png,1,1,5
141,alley_cat_s_002579.png,3,1,0
